pygame 2.5.2 (SDL 2.28.3, Python 3.11.3)
Hello from the pygame community. https://www.pygame.org/contribute.html

-------TRAINING BEGIN-------
NOTES: reward function for eating apple: reward function for staying alive: reward function for dying: Game 1 Score 0 Record: 0
Game 2 Score 0 Record: 0
Game 3 Score 0 Record: 0
Game 4 Score 0 Record: 0
Game 5 Score 0 Record: 0
Game 6 Score 0 Record: 0
Game 7 Score 0 Record: 0
Game 8 Score 1 Record: 1
Game 9 Score 0 Record: 1
Game 10 Score 0 Record: 1
Game 11 Score 0 Record: 1
Game 12 Score 0 Record: 1
Game 13 Score 0 Record: 1
Game 14 Score 1 Record: 1
Game 15 Score 0 Record: 1
Game 16 Score 1 Record: 1
Game 17 Score 1 Record: 1
Game 18 Score 0 Record: 1
Game 19 Score 0 Record: 1
Game 20 Score 0 Record: 1
Game 21 Score 0 Record: 1
Game 22 Score 0 Record: 1
Game 23 Score 0 Record: 1
Game 24 Score 1 Record: 1
Game 25 Score 1 Record: 1
Game 26 Score 0 Record: 1
Game 27 Score 1 Record: 1
Game 28 Score 0 Record: 1
Game 29 Score 0 Record: 1
Game 30 Score 1 Record: 1
Game 31 Score 0 Record: 1
Game 32 Score 0 Record: 1
Game 33 Score 1 Record: 1
Game 34 Score 0 Record: 1
Game 35 Score 0 Record: 1
Game 36 Score 2 Record: 2
Game 37 Score 0 Record: 2
Game 38 Score 0 Record: 2
Game 39 Score 1 Record: 2
Game 40 Score 0 Record: 2
Game 41 Score 0 Record: 2
Game 42 Score 0 Record: 2
Game 43 Score 2 Record: 2
Game 44 Score 0 Record: 2
Game 45 Score 1 Record: 2
Game 46 Score 1 Record: 2
Game 47 Score 0 Record: 2
Game 48 Score 5 Record: 5
Game 49 Score 1 Record: 5
Game 50 Score 1 Record: 5
Game 51 Score 1 Record: 5
Game 52 Score 1 Record: 5
Game 53 Score 1 Record: 5
Game 54 Score 2 Record: 5
Game 55 Score 0 Record: 5
Game 56 Score 2 Record: 5
Game 57 Score 2 Record: 5
Game 58 Score 0 Record: 5
Game 59 Score 4 Record: 5
Game 60 Score 2 Record: 5
Game 61 Score 1 Record: 5
Game 62 Score 3 Record: 5
Game 63 Score 0 Record: 5
Game 64 Score 0 Record: 5
Game 65 Score 2 Record: 5
Game 66 Score 2 Record: 5
